"pair","convergence","sigma_ide","sigma_pe_1","sigma_pe_2","sigma_res_1","sigma_res_c","sigma_res_2","sigma_ped_1","sigma_ped_c","sigma_ped_2","h2_1","h2_1_se","h2_2","h2_2_se","rg","rg_se","re","re_se","rp","rp_se","h2_1_check","h2_2_check","rg_check","re_check","rp_check","check_agree_rg","check_agree_rp"
"methane_ch4rmtmbw_cg_het_scale","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"methane_ch4rmtmbwco2","CONVERGED",0.230684,0.230684,1.49654,10.8722,8.98209,9.85965,4.93829,3.25454,3.55427,0.3079,0.0159,0.2384,0.015,0.7768,0.02,0.8675,0.0028,0.7912,0.004,0.307850909166623,0.238374268801901,0.776830217430289,0.867536860878502,0.791221778176292,TRUE,TRUE
"methane_ch4rmtmbwco2_cg_het","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"methane_ch4rmtmbwco2_cg_het_scale","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"methane_ch4rumen","CONVERGED",1.18339,1.18339,0.0845364,10.7365,1.40888,0.263748,3.92,0.523724,0.115231,0.2475,0.0201,0.2486,0.0644,0.7792,0.0954,0.8372,0.0477,0.7132,0.0177,0.247476466061317,0.248602311810999,0.779246351014476,0.837236304945411,0.713238387525813,TRUE,TRUE
"methane_ch4rumen_cg_het","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"methane_co2","CONVERGED",1.02942,1.02942,15712.2,10.7212,196.109,31467.4,4.16246,165.351,20331,0.2616,0.0187,0.3012,0.0208,0.5684,0.0356,0.3376,0.0101,0.3487,0.0093,0.261574754855754,0.30115270787106,0.568397840208382,0.337633395147492,0.348736285394815,TRUE,TRUE
"methane_co2_cg_het","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"methane_co2_cg_het_scale","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"methane_co2_petrait","CONVERGED",1.02942,1.02942,15712.2,10.7212,196.109,31467.4,4.16246,165.351,20331,0.2616,0.0187,0.3012,0.0208,0.5684,0.0356,0.3376,0.0101,0.3487,0.0093,0.261574754855754,0.30115270787106,0.568397840208382,0.337633395147492,0.348736285394815,TRUE,TRUE
"methane_co2_stage_het_trial","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"methane_mbw","CONVERGED",0.721556,0.721556,1.70234,10.6799,0.826525,0.964843,4.74938,2.45639,2.45206,0.2941,0.018,0.479,0.0229,0.7198,0.0277,0.2575,0.0112,0.361,0.0099,0.294064034827671,0.478988787990724,0.719802440414431,0.25748034119903,0.361043276777075,TRUE,TRUE
"methane_mbw_cg_het","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"methane_mbw_cg_het_scale","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"methane_mbw_stage_het_scale_trial","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"methane_mbw_stage_het_trial","CONVERGED",3.01037,3.01037,0,NA,NA,NA,7.56707,3.16283,1.58114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.914380195067092,NA,NA,NA,NA
"methane_muscle","CONVERGED",1.09264,1.09264,0.178747,10.7425,0.555892,0.594141,4.0261,0.605946,0.52872,0.2538,0.0205,0.4062,0.1167,0.4153,0.1218,0.22,0.0745,0.2557,0.0384,0.253832613339184,0.406205247662891,0.415316107196235,0.220035614968408,0.255703636174495,TRUE,TRUE
"methane_muscle_cg_het","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"methane_muscle_cg_het_scale","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
